1,2,3,4,5
1,e-그린세이브예금,6개월,3.5
2,e-그린세이브예금,12개월,3.9
3,올해는예금[시즌3],12개월,3.05
4,JB 1·2·3 정기예금,12개월,3.80
5,IBK D-Day통장(단기중금채),12개월,4.0
6,Sh첫만남우대예금,12개월,2.97
7,IBK첫만남통장(중금채),6개월,2.5
8,IBK첫만남통장(중금채),12개월,2.97
9,IBK W통장(거치식),12개월,3.74
10,헤이(Hey)정기예금,6개월,3.8
11,헤이(Hey)정기예금,12개월,4.0
12,BNK코리보연동정기예금,12개월,4.03
13,NH올원e예금,12개월,3.75
14,굿스타트예금,12개월,3.3
15,SC제일 친환경비움예금,12개월,3.78
16,우리 첫거래우대 정기예금,12개월,3.10
